,geography,count_race_total_population,percent_race_total_population_one_race_white,percent_hispanic_or_latino_by_race_total_population_hispanic_or_latino,percent_race_total_population_one_race_black_or_african_american,percent_race_total_population_one_race_asian,percent_race_total_population_one_race_native_hawaiian_and_other_pacific_islander,percent_race_total_population_one_race_american_indian_and_alaska_native,percent_race_total_population_one_race_some_other_race,percent_race_total_population_two_or_more_races,percent_total_races_tallied_1_total_races_tallied_black_or_african_american_alone_or_in_combination_with_one_or_more_other_races,percent_total_races_tallied_1_total_races_tallied_white_alone_or_in_combination_with_one_or_more_other_races,percent_housing_occupancy_total_housing_units_vacant_housing_units,percent_housing_tenure_occupied_housing_units_renter_occupied_housing_units,facility_binary,facility_counts,estimate_households_total,estimate_households_median_income_dollars,estimate_households_mean_income_dollars,estimate_percent_age_by_educational_attainment_population_25_years_and_over_bachelors_degree_or_higher,estimate_percent_age_by_educational_attainment_population_25_years_and_over_high_school_graduate_or_higher,estimate_percent_age_by_educational_attainment_population_25_years_and_over_graduate_or_professional_degree,estimate_percent_age_by_educational_attainment_population_25_years_and_over_less_than_9th_grade,estimate_percent_female_age_by_educational_attainment_population_25_years_and_over_bachelors_degree_or_higher,estimate_percent_female_age_by_educational_attainment_population_25_years_and_over_graduate_or_professional_degree,estimate_percent_female_age_by_educational_attainment_population_25_years_and_over_high_school_graduate_or_higher,estimate_percent_female_age_by_educational_attainment_population_25_years_and_over_less_than_9th_grade,estimate_percent_male_age_by_educational_attainment_population_25_years_and_over_bachelors_degree_or_higher,estimate_percent_male_age_by_educational_attainment_population_25_years_and_over_graduate_or_professional_degree,estimate_percent_male_age_by_educational_attainment_population_25_years_and_over_high_school_graduate_or_higher,estimate_percent_male_age_by_educational_attainment_population_25_years_and_over_less_than_9th_grade,estimate_female_median_earnings_in_the_past_12_months_in_2023_inflation_adjusted_dollars_population_25_years_and_over_with_earnings,estimate_male_median_earnings_in_the_past_12_months_in_2023_inflation_adjusted_dollars_population_25_years_and_over_with_earnings
266,06073009802,6586,58.9,21.7,8.5,8.5,0.8,0.6,6.4,16.4,10.9,73.5,2.5,40.5,FALSE,0,2426,107429,120911,50.9,96.1,16.9,1.9,48.7,17.6,98,1.1,53.4,16.2,94,2.8,41848,83378
267,06073009804,5024,69.6,17,3.6,6.7,0.7,0.8,4.2,14.5,5.8,83.1,1.2,14.9,FALSE,0,1880,148026,155526,51.2,92,20.9,3.8,50.7,19.5,88.8,6.7,51.9,22.5,95.9,0.3,66146,87500
268,06073009805,4802,71.6,16.1,2.3,6,0.5,0.4,4.6,14.5,4.5,85.1,2.5,25.4,FALSE,0,1903,101644,146985,53.6,96.2,24.2,1.4,55.6,25.8,97.8,0.9,50.9,21.9,93.9,2,75685,102321
269,06073009901,678,71.1,18,11.9,5.9,0.7,1.5,3.2,5.6,14.2,75.7,2.9,60.6,TRUE,2,9,-,N,53.2,100,42.9,0,63.5,30.3,100,0,50.7,45.9,100,0,36343,100949
270,06073009902,6,66.7,0,0,0,0,0,0,33.3,0,100,0,100,FALSE,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
271,06073010001,4032,19.7,68.7,3.3,15.5,1,1.5,33.4,25.7,4.9,43.4,2.8,28,FALSE,0,1018,101591,111484,23,77.9,6.2,8.4,15.2,4.2,73.4,9.7,30.5,8.1,82.3,7.2,32298,54896
272,06073010003,5806,17.2,70.4,2.6,15.4,0.7,2.1,36.5,25.5,3.8,41,1.2,16.3,FALSE,0,1582,98913,106572,16.6,88.9,5,3.9,22.1,7.8,86.1,5.7,12.2,2.8,91.2,2.5,40914,46774
273,06073010004,4538,20.6,80.1,2.2,9.7,0.5,1.6,40.4,24.9,3.2,44.1,0.3,16.3,FALSE,0,1090,105074,113374,15.7,70.8,4.7,17.5,17.8,7,75.5,10.9,13.5,2.3,66,24.2,29107,55558
274,06073010005,7060,20,93.8,1,2.3,0.3,2,46.8,27.7,1.2,46.9,0.5,62.9,FALSE,0,2271,35503,72553,8.1,62.3,3.3,18.8,6.7,1.8,54.7,26.3,10.1,5.5,73.3,7.9,32896,40110
275,06073010009,6517,14.7,92.3,1.8,2.4,0,1.5,45.4,34.1,2.6,47.4,1,65,FALSE,0,1422,74063,90402,13.7,64.1,2.6,16,16.2,3.6,63.8,17.9,10.8,1.4,64.5,13.7,35021,45977
276,06073010010,5506,22.6,78.3,2.4,9.5,0.3,1.2,39.7,24.3,3.2,45.2,1.5,43.6,FALSE,0,1596,65000,79203,16.7,74,2.3,12.1,14.6,3.9,71.6,15.1,19,0.6,76.7,8.8,34556,42302
277,06073010011,3603,19.8,69.6,3.9,15.1,0.9,1.9,34.4,23.8,5.1,42.1,0.7,31.4,FALSE,0,1048,111429,136399,10.9,84.6,4.2,8.4,14.1,5.4,81,12.6,7.6,3,88.4,4.1,30787,58021
278,06073010012,4567,12.7,95.1,1.6,1.1,0,1.8,56.8,26,2.1,37.6,3.6,66,FALSE,0,1222,86111,101252,16.1,68.1,4.3,14.1,13.5,3.3,66.8,17,19,5.4,69.6,10.8,29471,55997
279,06073010013,6009,13.9,97.1,0.6,0.6,0.1,2,51.8,31,0.9,43.9,3.4,87.5,FALSE,0,1518,69459,72168,7.8,55.6,2.4,17.6,9.4,3.6,63.5,16.5,6.4,1.5,48.6,18.6,27665,44345
280,06073010015,4582,16.5,71.5,8.6,11.2,0.3,1.3,36.7,25.4,9.7,40.8,1.6,28.7,TRUE,5,1179,129107,135887,31.1,82,9.3,7.5,34.7,15.6,82.7,9.6,28,4.1,81.3,5.7,42500,83226
281,06073010016,4126,25.3,37.2,33.9,1.1,0.3,1.3,36.6,1.5,34,25.6,0,50,FALSE,0,0,-,-,4.1,63.7,1,9.3,0,0,100,0,4.2,1,63,9.5,-,11905
282,06073010017,5818,18.7,53.2,10.4,21.7,0.4,0.9,24.1,23.8,12.4,40.7,3.9,30,FALSE,0,1735,108042,125141,26.8,90.1,9.3,6,23.9,6.4,88.4,7.4,29.8,12.4,91.9,4.5,46932,62125
283,06073010018,6718,18.6,59.5,8.5,19.1,0.3,1.5,25.3,26.8,10.5,43.4,3.2,50.7,FALSE,0,2116,139643,139645,42.5,90.9,13.3,6.3,43.4,13.1,87.7,9.7,41.7,13.5,94.3,2.9,70140,74063
284,06073010019,4045,20.5,53.2,8.5,21.2,0.8,1.4,23.1,24.5,11.4,43,3,42.2,FALSE,0,1082,131316,141721,47.6,89.6,9.2,6.9,52.4,6.8,88,7.5,42.8,11.7,91.2,6.3,54244,76625
285,06073010103,6248,27.4,72.7,3.7,5.8,0.5,1.8,37.2,23.7,5.3,49.6,3,49.6,FALSE,0,2238,57500,75115,11.8,79.8,4.4,8.7,11.9,5.4,73.1,10.7,11.6,3.5,85.8,6.8,32348,45557
286,06073010104,3378,33.2,53.8,2.8,12.4,0.4,0.7,25.9,24.7,4.4,56.1,1.8,28.9,FALSE,0,1137,103315,123470,21.6,83.8,5.1,8.2,22.8,8,85.4,9.7,20.5,2.1,82.2,6.8,49797,61607
287,06073010106,5237,20.4,87.8,1.8,3.6,0.1,2.2,38.6,33.2,2.9,52.1,1.9,50.3,TRUE,2,1336,50833,72973,16.8,62.8,2.1,14.9,14.4,1,58.8,17.9,19.2,3.3,67,11.8,29625,48795
288,06073010107,6578,28.5,77,2.4,8.7,0.5,1.5,33.8,24.6,3.4,51.7,4.5,38.8,FALSE,0,1705,85875,92868,14.5,80.1,5.3,6.7,17,6.8,80.8,9.4,11.9,3.9,79.5,4,33242,48607
289,06073010109,4597,17.6,75.6,4.3,11.4,0.1,1.7,37.4,27.5,5.2,43.4,2.6,30.2,FALSE,0,1167,104630,119686,17.7,76.4,2.6,12,18,5,78.1,13.9,17.4,0.2,74.6,10,50170,49135
290,06073010110,7510,20.8,69.6,3.5,13.7,0.6,2.2,32.2,27,4.9,46.1,2.1,51.9,FALSE,0,2068,68333,89018,15.9,78.3,3.7,9.2,18.8,4.2,76.1,11.7,12.4,3.1,81.1,6.2,31939,46033
291,06073010111,3289,14,93.4,0.7,2.3,0.1,1.5,44.2,37.2,1.4,49.9,1.3,49.2,FALSE,0,845,59561,94875,12.4,64.7,2.4,13.1,16.3,3.7,64.8,14.5,8.1,0.9,64.6,11.6,27981,38158
292,06073010112,5204,17.8,85.6,4.3,3.3,0.2,1.6,41.7,31.1,6.1,47,3,80.5,FALSE,0,1516,57083,67430,13.6,69.1,3.1,12.5,12.7,2.8,68,17,14.6,3.4,70.4,7.4,36020,48689
293,06073010201,2768,64.8,26.8,3,4.9,0.2,1,9.2,16.8,5,80.2,19.4,57.5,FALSE,0,1142,108250,148789,41.5,97.4,17.1,1.2,52.5,24.8,98.4,0,30.6,9.5,96.4,2.3,70388,80074
294,06073010202,3499,56,40.9,3.2,3.7,0.3,1.3,15.2,20.3,5.3,74.4,7.3,64.1,FALSE,0,1350,103247,130477,39.2,91.6,7.9,0.8,39.8,4,95.6,1.7,38.7,11.7,87.7,0,54844,67316
295,06073010300,4485,46.5,46.8,3,6.9,0.4,1.3,21.2,20.7,4.9,65.9,2.9,52.9,FALSE,0,1507,77722,103227,20.9,77.7,6.6,7.9,21.9,9,76.4,10.5,19.9,4.1,79.1,5.1,32275,58545
296,06073010401,2452,33.6,64.6,4.4,3.7,0.9,1.3,31.9,24.2,6.2,56.6,6,77.5,FALSE,0,821,70609,84567,19,88.3,4.4,5.5,19.9,5.6,84.6,7.7,18,3.3,92,3.3,40417,49861
297,06073010402,5800,30,63.9,3.8,9.2,0.8,1.7,32.6,21.8,5.8,50.2,2.8,77.9,FALSE,0,1812,59227,77007,14.3,77.9,2.9,9.9,13.3,1.4,76.2,10.6,15.5,4.5,79.7,9.1,31140,42730
298,06073010501,1365,61.3,33.8,2.3,4.5,0.1,0.7,12.9,18.2,3.7,78.5,7,51,FALSE,0,555,118634,131731,43.3,95.3,15.9,2.3,41.3,17.5,94.1,2.8,44.8,14.6,96.3,1.9,48750,88333
299,06073010502,5766,36.4,58,4.8,6.4,0.8,0.9,28.7,22,7.2,56.8,5,81.8,FALSE,0,2121,65351,84924,11.2,82.9,5.4,7.5,16.7,10.1,79.6,6.5,7.2,1.9,85.4,8.3,34325,47016
300,06073010601,2106,73.8,19.7,1,4,0.1,0.6,3.5,16.8,2.3,90,25.4,24.9,TRUE,2,864,202692,249255,76.9,96.8,40.7,2.8,67.2,29.2,94.3,5.7,86.3,51.8,99.3,0,44250,158083
301,06073010800,2339,81.8,10.8,0.6,2.3,0.2,0.2,2.9,12,1.2,93.3,15.3,50.6,FALSE,0,928,132000,210955,70.8,99.6,27.6,0,71.1,27.5,99.1,0,70.5,27.8,100,0,43750,111250
302,06073010900,1627,80.7,15,0.5,2.1,0.1,0.2,3.8,12.5,1,92.9,18.5,34.1,FALSE,0,607,179063,280805,73.3,96.8,40.7,0.2,74.9,39.7,99.6,0.4,71.7,41.7,94,0,-,129239
303,06073011000,2983,78.7,15,2.3,3.3,0.4,0.6,2.7,11.9,3.4,90.1,11.6,65.2,FALSE,0,1376,97237,140228,64.9,95,29.5,0.5,66.7,29.8,97.9,0.8,63.1,29.2,92,0.1,56856,84034
304,06073011100,3795,77.7,14.2,0.6,3.1,0.2,0.4,4.2,13.8,1.4,91.2,12,52.3,FALSE,0,1487,127050,158193,69.1,98.9,35,0,65.7,31.2,99.4,0,72.8,39.2,98.5,0,53561,106875
305,06073011300,4036,55.6,24.4,20.8,4.5,0.8,1.8,8.5,8,24.2,62.1,3.2,95,TRUE,1,37,155114,137149,35.3,100,23.4,0,37.1,19.4,100,0,34.6,24.8,100,0,70962,61982
306,06073011601,5713,16.2,81.3,2.6,10.7,0.5,1.5,42.1,26.5,3.6,41,5.3,85,FALSE,0,1623,69542,73895,11.9,70.2,2.3,17,10.9,2.5,70.5,15.7,12.9,2.1,70,18.4,33581,35172
307,06073011602,3520,20.5,75.3,5.4,9,0.3,2.4,37.7,24.7,7.3,43.1,2.1,82.1,FALSE,0,1320,57303,62779,15.5,63.7,1.3,23.5,19.8,1,65.4,27.4,10.4,1.6,61.6,19,25450,41443
308,06073011700,7569,20.7,59.6,4.1,26.6,0.5,1.6,28.6,17.8,5.5,37.2,3.8,81.5,FALSE,0,2607,56045,65948,13.6,75.1,2.1,16.7,12.9,0.6,71.7,20.6,14.3,3.7,78.7,12.7,29349,36718
309,06073011801,3692,18.4,77.5,2.2,11.6,0.3,2.1,43,22.5,3.3,39.8,3.3,68.1,FALSE,0,1128,61146,76738,16.4,70.5,5.7,22.8,15,6.1,69.3,22.5,18.1,5.3,71.9,23.2,34135,33750
310,06073011802,6636,17.3,74.4,3.6,14,0.6,1.6,39.8,23.1,5,38.5,3.5,72.4,FALSE,0,1956,57273,79749,15.4,67.8,2.4,10.6,14.5,3,65.8,14.6,16.4,1.6,70.1,5.9,24566,34414
311,06073011902,5797,23.9,55.3,5.3,25.8,0.9,1,25.5,17.6,6.6,39.4,4.1,33.5,FALSE,0,1812,76685,97867,19.5,80.2,6.5,11.1,21.7,7.2,82.6,10.4,16.4,5.5,76.8,12.1,31302,45809
312,06073012002,3394,11.4,40.8,5.5,46.2,0.5,0.9,21.5,14,7,24.1,3,82.6,FALSE,0,1257,38973,48311,27.4,68.5,3.5,19.6,36.6,5.4,70.6,16.8,14.7,0.9,65.7,23.4,37163,30583
313,06073012003,3372,21,57.9,2.6,27,0.5,1.8,26.2,20.9,3.4,40.5,1.4,40.3,FALSE,0,803,93438,102790,20.8,83.4,4,7.3,29.3,4.6,81.4,10.2,12.4,3.4,85.3,4.5,33355,49250
314,06073012101,2167,25.7,71.9,1.8,10,1,1.7,28.5,31.2,3.7,55.1,3.2,56.1,FALSE,0,666,93824,101221,13.6,82.7,4.6,13.7,16.2,3.4,81.7,14.1,10.7,5.9,83.8,13.3,35094,52448
315,06073012102,3160,23.1,74.5,3,11.7,0.3,3.2,33.4,25.3,3.8,47.7,2.1,52.1,FALSE,0,944,70125,88076,15.7,87.2,4.5,5,17.3,4.8,85.5,5.3,13.9,4.1,89,4.6,36172,54534
316,06073012200,3513,21.7,76.2,2.9,8.4,0.7,2.7,35.3,28.3,4.4,48.1,3.7,46.8,FALSE,0,926,60500,83487,14.6,81.8,6.3,9.4,11.2,3.1,78.7,10.1,18.2,9.6,85.1,8.7,25625,45536
317,06073012302,1889,31,68.4,3.5,7.4,0.3,1.6,30.2,26.1,5.9,55.7,6,84.4,FALSE,0,786,44750,73954,31.3,83.3,10.1,13.6,28.4,9.9,78.4,19.4,35,10.3,89.4,6.3,44000,58633
318,06073012303,3669,42.6,55.2,5.4,6.6,0.7,2,19.2,23.4,6.7,65,6.1,66.2,FALSE,0,1211,75024,111982,28.3,89.2,7.7,5.4,28,9.8,89,5.9,28.6,5.6,89.4,4.9,42121,48830
319,06073012304,3997,41.8,56.9,3.1,7,0.3,1.4,21,25.5,4.8,65.8,4.6,51.4,FALSE,0,1396,90300,122658,35.2,88.8,12.7,8,40.7,11,91.3,7.9,30.6,14.2,86.7,8.2,45076,55781
320,06073012401,3693,24.6,74.2,3.8,6.7,0.9,1.9,31.4,30.6,5.5,53,4.4,73.6,FALSE,0,1172,81538,93288,20.2,71.3,6.8,13.2,20.7,5.5,68.9,13.4,19.8,8.1,73.7,13,32788,65347
321,06073012402,5822,24.9,75.6,4.2,4.6,0.2,1.2,37.9,27,5.5,50.6,3.7,79,FALSE,0,1871,64018,75407,17.1,80.5,5.1,11.8,18.2,6.1,86.7,9.4,16,4,73.6,14.4,42137,45421
322,06073012501,4401,20.4,79.8,5.3,4.3,1,1.7,42.9,24.3,6.8,43.3,2.3,70.2,FALSE,0,1479,43125,54613,9.1,69.9,1.8,12.1,5.2,1.1,72.5,14.6,14,2.7,66.7,9,32984,44141
323,06073012502,4576,20.6,77.4,5,5.9,0.5,1.6,38,28.4,6.6,47.4,7.2,78.3,FALSE,0,1775,65625,75097,15.3,74.6,2.3,12.9,10.5,2.8,65.1,18.7,19,2,81.9,8.4,30993,44602
324,06073012600,5143,25.4,78.4,3.4,4.3,0.5,2,38.8,25.5,4.8,49.6,2.3,62,FALSE,0,1542,78017,98517,11.5,68.3,3.8,12.8,6.1,0,64.6,19.7,16.8,7.6,72,6,33416,47766
325,06073012700,4945,23.1,76,5,5.1,0.6,2.7,40.7,22.8,6.2,44.2,10.2,84.2,FALSE,0,1737,67961,72440,18.5,77.1,4,12.3,16.8,2.6,74.6,15.3,20.5,5.7,80.1,8.6,32181,52344
326,06073012800,4009,34.8,68.6,1.9,4.7,0.4,1.6,27.3,29.2,3.4,62.6,3.9,51.5,FALSE,0,1339,84185,105975,26.4,85,7.4,4.9,35.5,9,82.9,5.6,18.8,6,86.8,4.3,53153,58708
327,06073012900,3540,37.2,64.2,2.3,5.2,0.2,1.2,26.2,27.7,3.6,64.1,2.8,28.4,FALSE,0,1134,103438,137827,33.1,93.9,10.4,3,26.1,7.3,95.2,3.3,40.9,13.7,92.5,2.7,46225,53580
328,06073013000,5997,27,71.9,4.9,5.2,1,2.4,34.6,24.9,6.4,50.3,3.7,57.5,FALSE,0,1882,72700,84140,18.7,76,4.4,6.5,22.8,6.3,72.7,11.5,15.4,2.9,78.6,2.5,40968,44225
329,06073013102,7294,24.4,73.6,7.2,5.2,0.9,1.8,36.2,24.4,9,47.2,3.6,71.3,FALSE,0,2067,64619,86628,16.2,71.7,5.3,9.7,11,4.5,74.7,10.1,21.9,6.2,68.4,9.3,32578,42750
330,06073013103,2922,20.3,81.1,3.3,3.7,0.9,1.5,45.3,25.1,4.5,43.7,1.7,57.6,FALSE,0,770,73333,82946,13.5,74.8,1.8,15.2,9,1.8,66.6,23.7,17.4,1.8,81.7,7.9,27969,54275
331,06073013104,6017,21.1,80.5,4,4.7,0.4,2.2,41,26.5,5.2,46.7,2.3,78,FALSE,0,1848,54750,70206,9.1,67.2,1.2,13.1,8.4,0,58.5,16.8,9.9,2.6,77.3,8.9,30225,38786
332,06073013203,6471,21.1,85.2,2.3,4.5,0.3,1.7,42.8,27.4,3.1,47.6,2.3,85.6,FALSE,0,2146,52014,73217,8.6,68.7,1.2,16.9,9.2,2.4,63.8,22.9,8,0,73.4,11.2,37500,44135
333,06073013204,4114,16.4,88.3,1.3,3.4,0.1,2,44.9,31.8,2.2,46.6,1.3,48.8,FALSE,0,1284,61852,87706,11.3,72.5,4.3,11.8,6.7,1.3,62.9,18.3,15.5,7,81.1,5.9,34784,36572
334,06073013205,2473,18.3,83.9,4.3,3.7,0,1.3,49.1,23.3,5.3,40.2,3.8,65.5,FALSE,0,704,61786,81041,20,71.4,8.1,11.3,17.7,12.2,70.1,13.4,22.6,3.6,72.9,9.1,33349,53277
335,06073013206,6909,20.1,83.9,2.4,3.9,0.1,1.4,36.9,35.2,3.3,54.2,2.7,64,FALSE,0,2181,52622,59640,9.8,69.2,3.2,13.7,8.2,3.6,68.5,11.8,11.7,2.8,69.9,16,33118,46339
336,06073013301,5271,31.3,69.5,2.4,5.4,0.6,1.8,30.4,28.1,3.6,57.8,1.7,22,FALSE,0,1567,106645,114474,22.8,82.6,8.6,7.8,25.4,9.6,81.5,9.1,20.2,7.5,83.6,6.5,53176,59575
337,06073013302,5073,30.3,71.8,2.2,6,0.3,1.7,32.8,26.6,3.4,55.5,1.1,22.4,FALSE,0,1537,100772,106885,18.5,83.8,6.4,7.5,19.4,6.4,80.8,9.1,17.6,6.4,86.8,6,41581,47933
338,06073013303,5130,24.2,78.5,2.2,5.9,0.9,1.8,36.8,28.2,3.7,51,2.3,27.1,FALSE,0,1388,71750,90490,14.5,70.9,6.4,12.2,15,5,68.3,12,14,8.1,74,12.3,30625,50990
339,06073013306,4615,27.1,71.6,3.8,10.3,0.5,1.6,32.1,24.6,5.4,50.2,2.2,32.8,FALSE,0,1134,86563,103739,17.3,81.2,5.2,6,20.2,5.7,80.9,8.5,13.3,4.6,81.7,2.9,40734,52143
340,06073013307,4274,22.4,75.1,3.4,9.5,0.4,1.3,39,24,5,44.3,2.6,20.6,FALSE,0,1287,80156,98691,11.3,81.9,4.1,10,14.1,4.5,75.9,15.7,8.2,3.7,88.4,3.7,33254,55139
341,06073013308,3962,20.4,83.7,3.2,3.5,0.2,2.7,40.8,29.2,4.1,48.3,2.2,44.3,FALSE,0,1035,95725,98721,11.9,74,6.2,12.5,15.1,9,70.7,9.3,8.3,2.9,77.9,16.2,31453,52880
342,06073013309,6866,26.5,60.4,2.9,16.9,0.7,1.1,23.3,28.6,4.1,53.5,1.1,18.6,FALSE,0,1896,140882,150194,29.9,90.3,10.5,2.2,33.2,14.8,88.1,2.2,25.9,5.4,92.9,2.3,36250,62846
343,06073013312,2798,23.7,74.9,2.4,6,1,1.5,31.5,33.9,3.9,55.1,1.8,24.3,FALSE,0,875,97188,104601,19.1,79.4,6.8,9.7,16.4,6,74,11.8,22.2,7.6,85.6,7.3,46250,61705
344,06073013315,3431,32.8,46.1,5.5,22,0.3,0.9,12.6,26.1,7.4,56.6,1.1,19.9,FALSE,0,1242,139476,146843,56.9,97.8,21.6,0.2,57.1,16.9,98.1,0.3,56.8,27.6,97.4,0,55273,75253
345,06073013316,7461,27.5,48.9,5.3,22.7,0.5,0.5,16.6,26.7,7.6,52.4,2.2,26.9,FALSE,0,2246,141364,162929,48,95.3,16.3,2.4,48.5,11.7,92.5,3,47.4,20.9,98.2,1.8,55221,92328
346,06073013317,16159,18.6,36,10,36.3,0.6,0.7,13.9,19.9,13.6,35.6,4.1,25,TRUE,1,4937,139464,161089,43.1,92.6,16.5,1.6,45,17.6,89.5,2.9,41.2,15.3,95.7,0.4,56630,73716
347,06073013318,7876,20.1,44.2,8.9,28.3,0.6,0.7,16.8,24.5,11.9,41.7,2,31.7,FALSE,0,2181,151302,158231,40,94.3,11.5,3,35.9,15.5,94.4,4.3,44.1,7.3,94.2,1.6,55406,70790
348,06073013319,7458,26.7,47.8,8.2,20.6,0.4,0.7,17,26.3,11,50.6,9.7,43.6,FALSE,0,2821,145256,144292,52.6,91.4,16.3,4.2,53.5,16.3,87,8.3,51.6,16.2,95.9,0,42125,81959
349,06073013320,6556,26.4,46.4,9.6,20,0.5,1,14.4,28.2,12.9,52.1,3.5,35.1,FALSE,0,1960,123000,132486,48.8,91.7,17.2,5.8,49.4,19.4,85.8,10.1,48.2,15.2,97.4,1.7,48786,73814
350,06073013321,8312,20.7,46.1,8.1,26.9,0.7,1,16,26.7,11,44.8,1.5,24.5,FALSE,0,2225,148068,148450,50.8,95,17.3,2.8,50.2,23.3,96.2,1.4,51.4,11.4,93.8,4.2,65368,82434
351,06073013322,4635,25.7,44.8,7.1,25.3,0.5,0.8,15.1,25.4,9.5,49.4,2.3,32.1,FALSE,0,1155,166563,291493,57.3,96.1,13.8,0,56.9,12.1,96.4,0,57.8,15.7,95.7,0,55629,104270
352,06073013323,6428,22.3,45.6,6.2,28.7,0.5,0.8,16.2,25.5,8.3,45.7,1.2,20.5,FALSE,0,2045,167715,169527,36.4,95.5,10.6,2.9,37.5,15.4,92.1,6.1,35.4,6.2,98.7,0,50643,59976
353,06073013324,2644,21.9,52.7,10.2,19.9,0.4,0.8,24.2,22.6,13,42,3.2,62.4,FALSE,0,830,125244,136608,44.4,97.3,5.3,1.3,38,2.1,97.4,2.6,50.5,8.4,97.1,0,56394,85797
354,06073013325,5367,23.8,47.4,8.2,25.2,0.6,1,18,23.2,11.2,44.8,2,61.1,FALSE,0,1897,82529,95807,27.5,77.8,15.3,19.5,30.9,19.8,75.3,22.3,22.6,9,81.5,15.5,38750,-
355,06073013326,4478,16.4,37.5,4,46.2,0.3,0.2,13.6,19.3,5.7,34.3,0.8,10.8,FALSE,0,1143,179425,193346,56.9,96.5,19.3,3,62.6,17.6,94.6,4.6,49.5,21.6,99.1,0.9,93622,63042
356,06073013327,5401,26.3,45.5,7.1,26.7,0.8,0.9,18,20.4,8.4,44.8,4,55.3,FALSE,0,1685,144328,161745,51.5,92.5,3.3,5.3,65.1,1.9,88.6,7.4,40.9,4.4,95.5,3.6,75104,59158
357,06073013401,4499,38.7,60.6,1.5,5.8,0.6,1.8,23.3,28.3,2.9,65.7,3.5,16.6,FALSE,0,1371,134358,142892,31.1,92.2,11.6,4.8,35.1,14.2,90,6,27.2,8.9,94.5,3.6,51786,52245
358,06073013409,5590,34.1,54.3,6.5,11.8,0.6,1.5,21.5,24,8.8,56,3.2,40.7,FALSE,0,2031,108590,118426,29.9,87,8.4,4.5,35.2,9.3,87.4,6,25.1,7.5,86.7,3.1,42266,57825
359,06073013411,5270,42.8,46.2,2.7,13.5,0.4,1,15.4,24.4,4.2,66.1,2.5,12.6,FALSE,0,1657,158802,165026,52.3,96,22.3,2.5,50.8,21.8,95.8,3.3,53.9,22.8,96.3,1.6,68066,86122
360,06073013412,5187,34.3,52,3.4,15.4,0.4,0.9,18.2,27.4,5.3,60.1,2.9,29,FALSE,0,1750,119348,149179,42.9,88.8,12.8,4.4,39.3,13.8,90.1,6.1,45.9,12.1,87.8,3,51563,72007
361,06073013414,7375,28.1,52.3,4.3,18.6,0.6,1.3,19.5,27.7,6.3,54,1.2,20,FALSE,0,2527,143600,169369,40.5,88.4,14.1,2.7,37.7,10.2,84.6,0.8,42.9,17.6,91.7,4.4,57628,59286
362,06073013415,1640,31.8,53.9,3.8,15.9,0.8,1.2,19,27.6,5.1,58.5,1.6,23.2,FALSE,0,485,160804,202415,44.9,94.8,15.8,2.6,52.5,16.7,96.9,1.3,37.3,14.9,92.7,3.9,74417,82614
363,06073013416,3930,41.7,47.3,5.4,10.9,0.4,1.8,15.5,24.4,7.3,64.4,1.2,27.1,FALSE,0,1237,122210,139789,31.9,92.5,10.8,4.7,30.2,11.4,91.1,5.2,33.6,10.2,93.9,4.2,65594,71021
364,06073013417,1971,35.8,48.2,4.9,18.2,0.4,0.8,14.9,25,6.6,58.9,1,11.5,FALSE,0,664,152700,156885,50.5,94.4,18,1.2,46.5,15,90.6,1.8,54.8,21.2,98.5,0.6,53150,85781
365,06073013418,6095,30.3,57.2,3.6,15.5,0.8,1.4,21.8,26.6,5.2,55.3,2,25.1,FALSE,0,2190,82440,113110,33.1,90.8,9,2.6,35.7,11.6,91.4,5.2,30.4,6.4,90.2,0,52019,58482
366,06073013420,3608,24,53.3,6.9,20,0.3,1.6,21.4,25.7,9.2,47.6,2.8,53.5,FALSE,0,962,127222,135927,38.4,94.7,14.3,4.7,28.3,9.6,93.2,6.8,48,18.8,96.1,2.7,42381,67411
367,06073013421,4720,26.9,52.2,3.1,23.3,0.6,1,18,27.1,4.9,52,2,24.2,FALSE,0,1298,145000,150459,53.1,91.7,17.1,5.7,48.1,13.6,89.2,7.2,58.8,21.1,94.6,4,38477,73571
368,06073013422,3964,39.9,46.5,2.8,13.8,0.2,1.5,14.7,27.1,4,66,2.6,14.6,FALSE,0,1336,149167,165548,47.9,92.9,22.2,4.3,38.4,21.7,94.2,5.3,57.6,22.7,91.5,3.4,43542,82070
369,06073013423,3934,28.3,41.9,5.6,25.6,0.5,0.9,13.3,25.7,8.3,52.2,1.5,16.9,FALSE,0,1040,144375,159934,56.8,94.2,21.1,2.7,66.1,19.4,96.1,0,45.5,23.1,91.9,6.1,70833,83542
370,06073013424,5698,30.1,51,4.5,18.8,0.4,1.1,16.6,28.5,6.7,57.1,0.6,26.5,FALSE,0,1884,160263,162676,34.8,94.6,9.7,1.9,32.2,5.9,94,1.8,37.3,13.2,95.1,1.9,36681,113250
371,06073013425,2243,29.8,52.8,4.1,19.2,0.3,0.3,18.2,28.1,6.2,56,4.8,9.7,FALSE,0,513,188339,210660,56,90.2,20.4,6.5,53.5,12.3,84.1,10,59,29.9,97.4,2.3,69063,87708
